ケース,side,main_山通番群,feat_山通番,変化の種類,山通番,納入先,NONYUHIBIN,入車時間,_truck_key,高さ,サイズ種類
1,main,199/200,193,別納入先どうしの新規混載,199,高岡,2026090203,10:51,10:51,515,1
1,main,199/200,193,別納入先どうしの新規混載,199,高岡,2026090203,10:51,10:51,750,1
1,main,199/200,193,別納入先どうしの新規混載,200,日野,2026090909,07:55,07:55,500,21
1,main,199/200,193,別納入先どうしの新規混載,200,日野,2026090909,07:55,07:55,500,21
1,feat,199/200,193,別納入先どうしの新規混載,193,日野,2026090909,07:55,07:55,500,21
1,feat,199/200,193,別納入先どうしの新規混載,193,日野,2026090909,07:55,07:55,500,21
1,feat,199/200,193,別納入先どうしの新規混載,193,高岡,2026090203,10:51,10:51,515,1
1,feat,199/200,193,別納入先どうしの新規混載,193,高岡,2026090203,10:51,10:51,750,1
2,main,211/212,195,別納入先どうしの新規混載,211,日野,2026090809,07:55,07:55,750,1
2,main,211/212,195,別納入先どうしの新規混載,211,高岡,2026091003,10:51,10:51,750,1
2,main,211/212,195,別納入先どうしの新規混載,212,高岡,2026090303,10:51,10:51,750,1
2,feat,211/212,195,別納入先どうしの新規混載,195,日野,2026090809,07:55,07:55,750,1
2,feat,211/212,195,別納入先どうしの新規混載,195,高岡,2026090303,10:51,10:51,750,1
2,feat,211/212,195,別納入先どうしの新規混載,195,高岡,2026091003,10:51,10:51,750,1
3,main,199/200,196,別納入先どうしの新規混載,199,日野,2026091010,09:25,09:25,1000,1
3,main,199/200,196,別納入先どうしの新規混載,200,高岡,2026090503,10:51,10:51,515,1
3,main,199/200,196,別納入先どうしの新規混載,200,高岡,2026090503,10:51,10:51,750,1
3,feat,199/200,196,別納入先どうしの新規混載,196,日野,2026091010,09:25,09:25,1000,1
3,feat,199/200,196,別納入先どうしの新規混載,196,高岡,2026090503,10:51,10:51,515,1
3,feat,199/200,196,別納入先どうしの新規混載,196,高岡,2026090503,10:51,10:51,750,1
4,main,41/207,199,同一納入先内の別ユニットとの統合,41,日野,2026090703,19:27,19:27,1000,1
4,main,41/207,199,同一納入先内の別ユニットとの統合,207,日野,2026090803,19:27,19:27,750,1
4,main,41/207,199,同一納入先内の別ユニットとの統合,207,日野,2026090803,19:27,19:27,750,1
4,feat,41/207,199,同一納入先内の別ユニットとの統合,199,日野,2026090703,19:27,19:27,1000,1
4,feat,41/207,199,同一納入先内の別ユニットとの統合,199,日野,2026090803,19:27,19:27,750,1
4,feat,41/207,199,同一納入先内の別ユニットとの統合,199,日野,2026090803,19:27,19:27,750,1
5,main,28/227,200,別納入先どうしの新規混載,28,日野,2026090803,19:27,19:27,500,21
5,main,28/227,200,別納入先どうしの新規混載,28,日野,2026090803,19:27,19:27,500,21
5,main,28/227,200,別納入先どうしの新規混載,28,日野,2026090803,19:27,19:27,500,21
5,main,28/227,200,別納入先どうしの新規混載,227,織機,2026090708,20:35,20:35,750,1
5,feat,28/227,200,別納入先どうしの新規混載,200,日野,2026090803,19:27,19:27,500,21
5,feat,28/227,200,別納入先どうしの新規混載,200,日野,2026090803,19:27,19:27,500,21
5,feat,28/227,200,別納入先どうしの新規混載,200,日野,2026090803,19:27,19:27,500,21
5,feat,28/227,200,別納入先どうしの新規混載,200,織機,2026090708,20:35,20:35,750,1
6,main,209/553,202,別納入先どうしの新規混載,209,高岡,2026090803,10:51,10:51,515,1
6,main,209/553,202,別納入先どうしの新規混載,209,高岡,2026090803,10:51,10:51,750,1
6,main,209/553,202,別納入先どうしの新規混載,553,日野,2026091009,07:55,07:55,500,21
6,main,209/553,202,別納入先どうしの新規混載,553,日野,2026091009,07:55,07:55,500,21
6,feat,209/553,202,別納入先どうしの新規混載,202,日野,2026091009,07:55,07:55,500,21
6,feat,209/553,202,別納入先どうしの新規混載,202,日野,2026091009,07:55,07:55,500,21
6,feat,209/553,202,別納入先どうしの新規混載,202,高岡,2026090803,10:51,10:51,515,1
6,feat,209/553,202,別納入先どうしの新規混載,202,高岡,2026090803,10:51,10:51,750,1
7,main,212/213,204,別納入先どうしの新規混載,212,日野,2026090810,09:25,09:25,515,1
7,main,212/213,204,別納入先どうしの新規混載,212,日野,2026090810,09:25,09:25,750,1
7,main,212/213,204,別納入先どうしの新規混載,213,高岡,2026090403,10:51,10:51,750,1
7,feat,212/213,204,別納入先どうしの新規混載,204,日野,2026090810,09:25,09:25,515,1
7,feat,212/213,204,別納入先どうしの新規混載,204,日野,2026090810,09:25,09:25,750,1
7,feat,212/213,204,別納入先どうしの新規混載,204,高岡,2026090403,10:51,10:51,750,1
8,main,191/213,205,別納入先どうしの新規混載,191,高岡,2026083103,10:51,10:51,750,1
8,main,191/213,205,別納入先どうしの新規混載,213,日野,2026090811,11:06,11:06,500,21
8,main,191/213,205,別納入先どうしの新規混載,213,日野,2026090811,11:06,11:06,500,21
8,main,191/213,205,別納入先どうしの新規混載,213,日野,2026090811,11:06,11:06,500,21
8,feat,191/213,205,別納入先どうしの新規混載,205,日野,2026090811,11:06,11:06,500,21
8,feat,191/213,205,別納入先どうしの新規混載,205,日野,2026090811,11:06,11:06,500,21
8,feat,191/213,205,別納入先どうしの新規混載,205,日野,2026090811,11:06,11:06,500,21
8,feat,191/213,205,別納入先どうしの新規混載,205,高岡,2026083103,10:51,10:51,750,1
9,main,120/300,206,別納入先どうしの新規混載,120,元町,2026090703,12:21,12:21,800,1
9,main,120/300,206,別納入先どうしの新規混載,300,日野,2026090812,12:05,12:05,500,21
9,main,120/300,206,別納入先どうしの新規混載,300,日野,2026090812,12:05,12:05,500,21
9,main,120/300,206,別納入先どうしの新規混載,300,日野,2026090812,12:05,12:05,500,21
9,feat,120/300,206,別納入先どうしの新規混載,206,元町,2026090703,12:21,12:21,800,1
9,feat,120/300,206,別納入先どうしの新規混載,206,日野,2026090812,12:05,12:05,500,21
9,feat,120/300,206,別納入先どうしの新規混載,206,日野,2026090812,12:05,12:05,500,21
9,feat,120/300,206,別納入先どうしの新規混載,206,日野,2026090812,12:05,12:05,500,21
10,main,211/217,210,同一納入先内の別ユニットとの統合,211,高岡,2026090703,10:51,10:51,750,1
10,main,211/217,210,同一納入先内の別ユニットとの統合,217,高岡,2026090903,10:51,10:51,515,1
10,main,211/217,210,同一納入先内の別ユニットとの統合,217,高岡,2026090903,10:51,10:51,750,1
10,feat,211/217,210,同一納入先内の別ユニットとの統合,210,高岡,2026090703,10:51,10:51,750,1
10,feat,211/217,210,同一納入先内の別ユニットとの統合,210,高岡,2026090903,10:51,10:51,515,1
10,feat,211/217,210,同一納入先内の別ユニットとの統合,210,高岡,2026090903,10:51,10:51,750,1
11,main,204/299,215,別納入先どうしの新規混載,204,KVC,2026082803,10:51,10:51,515,1
11,main,204/299,215,別納入先どうしの新規混載,299,高岡,2026091004,14:40,14:40,750,1
11,feat,204/299,215,別納入先どうしの新規混載,215,KVC,2026082803,10:51,10:51,515,1
11,feat,204/299,215,別納入先どうしの新規混載,215,織機,2026091004,10:30,10:30,750,1
12,main,206/207,220,同一納入先内の別ユニットとの統合,206,日野,2026090903,19:27,19:27,750,1
12,main,206/207,220,同一納入先内の別ユニットとの統合,206,日野,2026091003,19:27,19:27,750,1
12,main,206/207,220,同一納入先内の別ユニットとの統合,207,日野,2026091203,19:27,19:27,1000,1
12,feat,206/207,220,同一納入先内の別ユニットとの統合,220,日野,2026090903,19:27,19:27,750,1
12,feat,206/207,220,同一納入先内の別ユニットとの統合,220,日野,2026091003,19:27,19:27,750,1
12,feat,206/207,220,同一納入先内の別ユニットとの統合,220,日野,2026091203,19:27,19:27,1000,1
13,main,222/320,227,同一納入先内の別ユニットとの統合,222,KVC,2026083103,10:51,10:51,515,1
13,main,222/320,227,同一納入先内の別ユニットとの統合,320,KVC,2026091404,10:51,10:51,515,1
13,feat,222/320,227,同一納入先内の別ユニットとの統合,227,KVC,2026083103,10:51,10:51,515,1
13,feat,222/320,227,同一納入先内の別ユニットとの統合,227,KVC,2026091404,10:51,10:51,515,1
14,main,279/604,273,別納入先どうしの新規混載,279,元町,2026082604,17:18,17:18,515,1
14,main,279/604,273,別納入先どうしの新規混載,279,元町,2026082604,17:18,17:18,800,1
14,main,279/604,273,別納入先どうしの新規混載,604,日野,2026090813,13:21,13:21,1000,1
14,feat,279/604,273,別納入先どうしの新規混載,273,元町,2026082604,17:18,17:18,515,1
14,feat,279/604,273,別納入先どうしの新規混載,273,元町,2026082604,17:18,17:18,800,1
14,feat,279/604,273,別納入先どうしの新規混載,273,日野,2026090813,13:21,13:21,1000,1
15,main,282/300,276,同一納入先内の別ユニットとの統合,282,高岡,2026082804,14:40,14:40,515,1
15,main,282/300,276,同一納入先内の別ユニットとの統合,282,高岡,2026082804,14:40,14:40,750,1
15,main,282/300,276,同一納入先内の別ユニットとの統合,300,高岡,2026082704,14:40,14:40,750,1
15,feat,282/300,276,同一納入先内の別ユニットとの統合,276,高岡,2026082704,14:40,14:40,750,1
15,feat,282/300,276,同一納入先内の別ユニットとの統合,276,高岡,2026082804,14:40,14:40,515,1
15,feat,282/300,276,同一納入先内の別ユニットとの統合,276,高岡,2026082804,14:40,14:40,750,1
16,main,285/431,279,別納入先どうしの新規混載,285,元町,2026090204,17:18,17:18,515,1
16,main,285/431,279,別納入先どうしの新規混載,285,元町,2026090204,17:18,17:18,800,1
16,main,285/431,279,別納入先どうしの新規混載,431,日野,2026090713,13:21,13:21,1000,1
16,feat,285/431,279,別納入先どうしの新規混載,279,元町,2026090204,17:18,17:18,515,1
16,feat,285/431,279,別納入先どうしの新規混載,279,元町,2026090204,17:18,17:18,800,1
16,feat,285/431,279,別納入先どうしの新規混載,279,日野,2026090713,13:21,13:21,1000,1
17,main,286/287,280,別納入先どうしの新規混載,286,高岡,2026090304,14:40,14:40,515,1
17,main,286/287,280,別納入先どうしの新規混載,286,高岡,2026090304,14:40,14:40,750,1
17,main,286/287,280,別納入先どうしの新規混載,287,日野,2026090912,12:05,12:05,500,21
17,main,286/287,280,別納入先どうしの新規混載,287,日野,2026090912,12:05,12:05,500,21
17,feat,286/287,280,別納入先どうしの新規混載,280,日野,2026090912,12:05,12:05,500,21
17,feat,286/287,280,別納入先どうしの新規混載,280,日野,2026090912,12:05,12:05,500,21
17,feat,286/287,280,別納入先どうしの新規混載,280,高岡,2026090304,14:40,14:40,515,1
17,feat,286/287,280,別納入先どうしの新規混載,280,高岡,2026090304,14:40,14:40,750,1
18,main,47/287,281,別納入先どうしの新規混載,47,日野,2026090914,14:15,14:15,500,21
18,main,47/287,281,別納入先どうしの新規混載,47,日野,2026090914,14:15,14:15,500,21
18,main,47/287,281,別納入先どうしの新規混載,287,高岡,2026090404,14:40,14:40,515,1
18,main,47/287,281,別納入先どうしの新規混載,287,高岡,2026090404,14:40,14:40,750,1
18,feat,47/287,281,別納入先どうしの新規混載,281,日野,2026090914,14:15,14:15,500,21
18,feat,47/287,281,別納入先どうしの新規混載,281,日野,2026090914,14:15,14:15,500,21
18,feat,47/287,281,別納入先どうしの新規混載,281,高岡,2026090404,14:40,14:40,515,1
18,feat,47/287,281,別納入先どうしの新規混載,281,高岡,2026090404,14:40,14:40,750,1
19,main,21/149,282,別納入先どうしの新規混載,21,三栄,2026090704,22:00,22:00,500,21
19,main,21/149,282,別納入先どうしの新規混載,21,三栄,2026090704,22:00,22:00,500,21
19,main,21/149,282,別納入先どうしの新規混載,21,三栄,2026090704,22:00,22:00,500,21
19,main,21/149,282,別納入先どうしの新規混載,149,高岡,2026090105,18:46,18:46,750,1
19,feat,21/149,282,別納入先どうしの新規混載,282,三栄,2026090704,22:00,22:00,500,21
19,feat,21/149,282,別納入先どうしの新規混載,282,三栄,2026090704,22:00,22:00,500,21
19,feat,21/149,282,別納入先どうしの新規混載,282,三栄,2026090704,22:00,22:00,500,21
19,feat,21/149,282,別納入先どうしの新規混載,282,高岡,2026090105,18:46,18:46,750,1
20,main,24/308,287,別納入先どうしの新規混載,24,日野,2026090714,14:15,14:15,500,1
20,main,24/308,287,別納入先どうしの新規混載,24,日野,2026090714,14:15,14:15,750,1
20,main,24/308,287,別納入先どうしの新規混載,308,織機,2026091004,10:30,10:30,750,1
20,feat,24/308,287,別納入先どうしの新規混載,287,日野,2026090714,14:15,14:15,500,1
20,feat,24/308,287,別納入先どうしの新規混載,287,日野,2026090714,14:15,14:15,750,1
20,feat,24/308,287,別納入先どうしの新規混載,287,高岡,2026091004,14:40,14:40,750,1
21,main,282/298,292,別納入先どうしの新規混載,282,日野,2026090912,12:05,12:05,1000,1
21,main,282/298,292,別納入先どうしの新規混載,298,高岡,2026090804,14:40,14:40,515,1
21,main,282/298,292,別納入先どうしの新規混載,298,高岡,2026090804,14:40,14:40,750,1
21,feat,282/298,292,別納入先どうしの新規混載,292,日野,2026090912,12:05,12:05,1000,1
21,feat,282/298,292,別納入先どうしの新規混載,292,高岡,2026090804,14:40,14:40,515,1
21,feat,282/298,292,別納入先どうしの新規混載,292,高岡,2026090804,14:40,14:40,750,1
22,main,312/313,296,同一納入先内の別ユニットとの統合,312,日野,2026090904,21:15,21:15,750,1
22,main,312/313,296,同一納入先内の別ユニットとの統合,313,日野,2026091204,21:15,21:15,750,1
22,feat,312/313,296,同一納入先内の別ユニットとの統合,296,日野,2026090904,21:15,21:15,750,1
22,feat,312/313,296,同一納入先内の別ユニットとの統合,296,日野,2026091204,21:15,21:15,750,1
23,main,16/305,298,別納入先どうしの新規混載,16,KVC,2026082607,14:40,14:40,830,1
23,main,16/305,298,別納入先どうしの新規混載,305,高岡,2026090904,14:40,14:40,750,1
23,main,16/305,298,別納入先どうしの新規混載,305,高岡,2026090904,14:40,14:40,830,1
23,feat,16/305,298,別納入先どうしの新規混載,298,KVC,2026082607,14:40,14:40,830,1
23,feat,16/305,298,別納入先どうしの新規混載,298,高岡,2026090904,14:40,14:40,750,1
23,feat,16/305,298,別納入先どうしの新規混載,298,高岡,2026090904,14:40,14:40,830,1
24,main,307/311,300,同一納入先内の別ユニットとの統合,307,日野,2026091004,21:15,21:15,750,1
24,main,307/311,300,同一納入先内の別ユニットとの統合,307,日野,2026091004,21:15,21:15,750,1
24,main,307/311,300,同一納入先内の別ユニットとの統合,311,日野,2026090904,21:15,21:15,1000,1
24,feat,307/311,300,同一納入先内の別ユニットとの統合,300,日野,2026090904,21:15,21:15,1000,1
24,feat,307/311,300,同一納入先内の別ユニットとの統合,300,日野,2026091004,21:15,21:15,750,1
24,feat,307/311,300,同一納入先内の別ユニットとの統合,300,日野,2026091004,21:15,21:15,750,1
25,main,308/316,301,同一納入先内の別ユニットとの統合,308,織機,2026091004,10:30,10:30,550,1
25,main,308/316,301,同一納入先内の別ユニットとの統合,308,織機,2026091004,10:30,10:30,750,1
25,main,308/316,301,同一納入先内の別ユニットとの統合,316,織機,2026091004,10:30,10:30,750,1
25,feat,308/316,301,同一納入先内の別ユニットとの統合,301,織機,2026091004,10:30,10:30,550,1
25,feat,308/316,301,同一納入先内の別ユニットとの統合,301,織機,2026091004,10:30,10:30,750,1
25,feat,308/316,301,同一納入先内の別ユニットとの統合,301,織機,2026091004,10:30,10:30,750,1
26,main,307/311,304,同一納入先内の別ユニットとの統合,307,日野,2026091004,21:15,21:15,1000,1
26,main,307/311,304,同一納入先内の別ユニットとの統合,311,日野,2026091104,21:15,21:15,750,1
26,main,307/311,304,同一納入先内の別ユニットとの統合,311,日野,2026091104,21:15,21:15,750,1
26,feat,307/311,304,同一納入先内の別ユニットとの統合,304,日野,2026091004,21:15,21:15,1000,1
26,feat,307/311,304,同一納入先内の別ユニットとの統合,304,日野,2026091104,21:15,21:15,750,1
26,feat,307/311,304,同一納入先内の別ユニットとの統合,304,日野,2026091104,21:15,21:15,750,1
27,main,46/312,305,同一納入先内の別ユニットとの統合,46,日野,2026091104,21:15,21:15,1000,1
27,main,46/312,305,同一納入先内の別ユニットとの統合,312,日野,2026091204,21:15,21:15,1000,1
27,feat,46/312,305,同一納入先内の別ユニットとの統合,305,日野,2026091104,21:15,21:15,1000,1
27,feat,46/312,305,同一納入先内の別ユニットとの統合,305,日野,2026091204,21:15,21:15,1000,1
28,main,312/313/351,306,別納入先どうしの新規混載,312,織機,2026091008,20:35,20:35,750,1
28,main,312/313/351,306,別納入先どうしの新規混載,313,日野,2026091204,21:15,21:15,500,21
28,main,312/313/351,306,別納入先どうしの新規混載,313,日野,2026091204,21:15,21:15,500,21
28,main,312/313/351,306,別納入先どうしの新規混載,351,日野,2026090704,21:15,21:15,500,21
28,feat,312/313/351,306,別納入先どうしの新規混載,306,日野,2026090704,21:15,21:15,500,21
28,feat,312/313/351,306,別納入先どうしの新規混載,306,日野,2026091204,21:15,21:15,500,21
28,feat,312/313/351,306,別納入先どうしの新規混載,306,日野,2026091204,21:15,21:15,500,21
28,feat,312/313/351,306,別納入先どうしの新規混載,306,織機,2026091008,20:35,20:35,750,1
29,main,18/204/299,352,別納入先どうしの新規混載,18,KVC,2026083105,14:40,14:40,515,1
29,main,18/204/299,352,別納入先どうしの新規混載,204,日野,2026090711,11:06,11:06,750,1
