SSYUKKA,SYUKKASAKI,SYUKKAKOKU,UKEIRE,HINBAN,NONYUHIBIN,SMAKER,SKOKU,SEBANGO,PLANKANBANSU,SAKUSEITIME,移動工数,高さ,サイズ種類,ストア,納入先,引取済,登録日時,登録者,入車時間,_truck_key,_has_special_hinban,ローカルグループ番号,山通番,グループ番号,グルーピング番号
02N,8482,W,B3,581167801100,2026082101,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:22Z,"Kotani, Miki/小谷 美輝",18:46,18:46,False,1.0,1,,
02N,8482,W,B7,581167801100,2026082101,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:35Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,1,,
02N,8482,W,B7,537214206090,2026082101,1000,N,719,1,,194.1301,515,1,L12-C-5,KVC,未,2026-09-10T10:50:28Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,1,,
02N,8482,W,B3,581167801100,2026082401,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:22Z,"Kotani, Miki/小谷 美輝",18:46,18:46,False,1.0,2,,
02N,8482,W,B7,581167801100,2026082401,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:35Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,2,,
02N,8482,W,B7,537224207090,2026082401,1000,N,720,1,,194.1302,515,1,L12-D-8,KVC,未,2026-09-10T10:50:32Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,2,,
02N,8482,W,B7,581167801100,2026082402,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:35Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,3,,
02N,8482,W,B7,537224207090,2026082402,1000,N,720,1,,194.1302,515,1,L12-D-8,KVC,未,2026-09-10T10:50:32Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,3,,
02N,8482,W,B7,537214206090,2026082501,1000,N,719,1,,194.1301,515,1,L12-C-5,KVC,未,2026-09-10T10:50:28Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,2.0,3,,
02N,8482,W,B7,537214206090,2026082402,1000,N,719,1,,194.1301,515,1,L12-C-5,KVC,未,2026-09-10T10:50:28Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,3,,
02N,8482,W,B3,581167801100,2026082403,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:22Z,"Kotani, Miki/小谷 美輝",22:41,22:41,False,1.0,4,,
02N,8482,W,B7,581167801100,2026082403,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:35Z,"Kotani, Miki/小谷 美輝",10:51,10:51,False,1.0,4,,
02N,1000,K,K5,583114214100,2026082701,829,L,730,1,,313.7401,750,1,C15-A-3,高岡,未,2026-09-10T10:50:57Z,"Kotani, Miki/小谷 美輝",22:59,22:59,False,1.0,4,,
02N,8482,W,B3,581167801100,2026082501,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:22Z,"Kotani, Miki/小谷 美輝",18:46,18:46,False,1.0,5,,
02N,8482,W,B7,581167801100,2026082501,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:35Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,5,,
02N,8482,W,B7,537224207090,2026082501,1000,N,720,1,,194.1302,515,1,L12-D-8,KVC,未,2026-09-10T10:50:32Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,5,,
02N,8482,W,B3,581167801100,2026082601,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:23Z,"Kotani, Miki/小谷 美輝",18:46,18:46,False,1.0,6,,
02N,8482,W,B7,581167801100,2026082601,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:35Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,6,,
02N,8482,W,B7,537224207090,2026082601,1000,N,720,1,,194.1302,515,1,L12-D-8,KVC,未,2026-09-10T10:50:33Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,6,,
02N,1000,K,K5,583114214100,2026082601,829,L,730,1,,313.7401,750,1,C15-A-3,高岡,未,2026-09-10T10:50:57Z,"Kotani, Miki/小谷 美輝",22:59,22:59,False,1.0,7,,
02N,1000,K,K5,537214206000,2026082601,829,L,719,1,,194.1301,515,1,L12-C-5,高岡,未,2026-09-10T10:50:51Z,"Kotani, Miki/小谷 美輝",22:59,22:59,False,1.0,7,,
02N,2982,2,07,631426010000,2026090909,1000,N,443,3,,72.916,1000,1,Q10-A-24,日野,未,2026-09-10T10:51:41Z,"Kotani, Miki/小谷 美輝",07:55,07:55,True,2.0,7,,
02N,8482,W,B7,582114202000,2026082701,1000,N,728,1,,346.5,550,1,C12-B-6,KVC,未,2026-09-10T10:50:37Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,8,,
02N,8482,W,B3,581167801100,2026082701,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:23Z,"Kotani, Miki/小谷 美輝",18:46,18:46,False,1.0,8,,
02N,8482,W,B7,581167801100,2026082701,1000,N,700,1,,313.7402,830,1,C15-A-1,KVC,未,2026-09-10T10:50:36Z,"Kotani, Miki/小谷 美輝",06:45,06:45,False,1.0,8,,
