PR #58 入れ込み測定レポート
実行時刻: 2026-08-03 22:25:55
リポジトリ: CHかんばんセット

日付=20260710 | セッション=2026-07-09 18:45:36 | 日野便=['04', '05'] | 山数=8 | メイン=8 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260710 | セッション=2026-07-09 18:59:19 | 日野便=['04', '05'] | 山数=8 | メイン=8 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260710 | セッション=2026-07-09 22:04:51 | 日野便=['06', '07'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山9が01:05に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山10が01:12に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山11が01:22に開始
日付=20260710 | セッション=2026-07-09 22:30:05 | 日野便=['06', '07'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山9が01:05に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山10が01:12に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山11が01:22に開始
日付=20260711 | セッション=2026-07-10 00:39:04 | 日野便=['07', '08'] | 山数=5 | メイン=5 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便07の窓[00:00-06:36]に 便08 山3が00:20に開始
  !! 入れ込み: 便07の窓[00:00-06:36]に 便08 山4が00:27に開始
  !! 入れ込み: 便07の窓[00:00-06:36]に 便08 山5が00:37に開始
日付=20260710 | セッション=2026-07-10 01:00:27 | 日野便=['05', '06'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=8
  !! 入れ込み: 便05の窓[00:00-06:44]に 便06 山4が00:22に開始
  !! 入れ込み: 便05の窓[00:00-06:44]に 便06 山5が00:31に開始
  !! 入れ込み: 便05の窓[00:00-06:44]に 便06 山6が00:37に開始
  !! 入れ込み: 便05の窓[00:00-06:44]に 便06 山7が00:47に開始
  !! 入れ込み: 便05の窓[00:00-06:44]に 便06 山8が00:55に開始
  !! 入れ込み: 便05の窓[00:00-06:44]に 便06 山9が01:04に開始
  !! 入れ込み: 便05の窓[00:00-06:44]に 便06 山10が01:10に開始
  !! 入れ込み: 便05の窓[00:00-06:44]に 便06 山11が01:21に開始
日付=20260710 | セッション=2026-07-10 01:13:03 | 日野便=['07', '08'] | 山数=5 | メイン=5 | リリーフ=0 | あふれ=0 | 入れ込み=8
  !! 入れ込み: 便07の窓[00:00-06:33]に 便08 山1が00:00に開始
  !! 入れ込み: 便07の窓[00:00-06:33]に 便08 山2が00:08に開始
  !! 入れ込み: 便07の窓[00:00-06:33]に 便08 山3が00:21に開始
  !! 入れ込み: 便07の窓[00:00-06:33]に 便08 山4が00:28に開始
  !! 入れ込み: 便07の窓[00:00-06:33]に 便08 山5が00:36に開始
  !! 入れ込み: 便08の窓[00:00-06:33]に 便07 山1が00:00に開始
  !! 入れ込み: 便08の窓[00:00-06:33]に 便07 山2が00:08に開始
  !! 入れ込み: 便08の窓[00:00-06:33]に 便07 山3が00:21に開始
日付=20260713 | セッション=2026-07-10 22:55:08 | 日野便=['06', '07'] | 山数=7 | メイン=7 | リリーフ=0 | あふれ=0 | 入れ込み=4
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山4が00:22に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山5が00:32に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山6が00:39に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山7が00:47に開始
日付=20260713 | セッション=2026-07-11 00:32:36 | 日野便=['05', '06'] | 山数=13 | メイン=13 | リリーフ=0 | あふれ=0 | 入れ込み=5
  !! 入れ込み: 便05の窓[00:00-06:33]に 便06 山9が01:15に開始
  !! 入れ込み: 便05の窓[00:00-06:33]に 便06 山10が01:21に開始
  !! 入れ込み: 便05の窓[00:00-06:33]に 便06 山11が01:31に開始
  !! 入れ込み: 便05の窓[00:00-06:33]に 便06 山12が01:38に開始
  !! 入れ込み: 便05の窓[00:00-06:33]に 便06 山13が01:49に開始
日付=20260713 | セッション=2026-07-14 06:54:16 | 日野便=['11', '12'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260714 | セッション=2026-07-14 07:28:53 | 日野便=['11', '12'] | 山数=6 | メイン=6 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260714 | セッション=2026-07-14 07:43:27 | 日野便=['11', '12'] | 山数=6 | メイン=6 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260714 | セッション=2026-07-14 07:52:24 | 日野便=['11', '12'] | 山数=6 | メイン=6 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260714 | セッション=2026-07-14 13:18:18 | 日野便=['11', '12'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260714 | セッション=2026-07-14 14:03:42 | 日野便=['11', '12'] | 山数=6 | メイン=6 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260714 | セッション=2026-07-14 15:05:48 | 日野便=['11', '12'] | 山数=6 | メイン=6 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260714 | セッション=2026-07-14 15:15:15 | 日野便=['11', '12'] | 山数=6 | メイン=6 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260714 | セッション=2026-07-14 15:46:51 | 日野便=['11', '13'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-15 10:15:35 | 日野便=['02', '03'] | 山数=13 | メイン=13 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便02の窓[12:24-13:42]に 便03 山8が12:39に開始
  !! 入れ込み: 便02の窓[12:24-13:42]に 便14 山11が12:47に開始
  !! 入れ込み: 便03の窓[12:39-14:12]に 便02 山1が13:26に開始
  !! 入れ込み: 便03の窓[12:39-14:12]に 便02 山2が13:35に開始
  !! 入れ込み: 便03の窓[12:39-14:12]に 便14 山11が12:47に開始
  !! 入れ込み: 便14の窓[12:10-12:54]に 便02 山3が12:24に開始
  !! 入れ込み: 便14の窓[12:10-12:54]に 便03 山8が12:39に開始
日付=20260715 | セッション=2026-07-15 10:15:57 | 日野便=['02', '03'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=5
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山4が00:28に開始
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山5が00:37に開始
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山6が00:44に開始
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山7が00:52に開始
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山8が00:59に開始
日付=20260715 | セッション=2026-07-15 10:18:11 | 日野便=['04', '05'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-15 10:21:19 | 日野便=['02', '03'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=5
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山4が00:28に開始
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山5が00:37に開始
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山6が00:44に開始
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山7が00:52に開始
  !! 入れ込み: 便02の窓[00:00-06:31]に 便03 山8が00:59に開始
日付=20260715 | セッション=2026-07-15 10:22:16 | 日野便=['04', '05'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-15 10:22:29 | 日野便=['04', '05'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-15 10:22:49 | 日野便=['04', '05'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-15 10:23:04 | 日野便=['04', '05'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-15 11:50:37 | 日野便=['11', '12'] | 山数=8 | メイン=8 | リリーフ=0 | あふれ=0 | 入れ込み=3
